Source,Target,Weight
DLC13,DLC24,3
DLC13,DLC22,1
DLC13,DLC9,1
DLC13,DLC10,2
DLC16,DLC13,1
DLC16,DLC12,1
DLC16,DLC5,3
DLC16,DLC20,3
DLC16,DLC22,3
DLC16,DLC10,3
DLC16,DLC18,4
DLC16,DLC21,4
DLC12,DLC13,1
DLC12,DLC16,1
DLC12,DLC24,3
DLC12,DLC2,4
DLC12,DLC5,2
DLC12,DLC20,3
DLC12,DLC22,2
DLC12,DLC9,1
DLC12,DLC10,2
DLC12,DLC21,2
DLC24,DLC13,1
DLC24,DLC12,2
DLC24,DLC2,2
DLC24,DLC5,3
DLC24,DLC20,4
DLC24,DLC22,1
DLC24,DLC9,4
DLC24,DLC10,2
DLC2,DLC13,1
DLC2,DLC16,1
DLC2,DLC12,1
DLC2,DLC24,1
DLC2,DLC5,2
DLC2,DLC20,4
DLC2,DLC22,1
DLC2,DLC9,6
DLC2,DLC10,4
DLC2,DLC18,2
DLC5,DLC13,1
DLC5,DLC16,4
DLC5,DLC12,1
DLC5,DLC24,1
DLC5,DLC20,4
DLC5,DLC22,3
DLC5,DLC9,4
DLC5,DLC10,1
DLC5,DLC18,4
DLC5,DLC21,2
DLC20,DLC16,6
DLC20,DLC12,3
DLC20,DLC24,4
DLC20,DLC2,5
DLC20,DLC5,2
DLC20,DLC22,2
DLC20,DLC9,6
DLC20,DLC10,2
DLC20,DLC18,2
DLC22,DLC16,1
DLC22,DLC2,3
DLC22,DLC5,3
DLC22,DLC20,3
DLC22,DLC9,3
DLC22,DLC10,2
DLC22,DLC18,3
DLC9,DLC13,1
DLC9,DLC16,2
DLC9,DLC12,1
DLC9,DLC2,9
DLC9,DLC5,1
DLC9,DLC20,7
DLC9,DLC22,1
DLC9,DLC10,3
DLC10,DLC12,1
DLC10,DLC2,1
DLC10,DLC5,1
DLC10,DLC20,1
DLC10,DLC22,1
DLC10,DLC18,2
DLC18,DLC16,2
DLC18,DLC12,1
DLC18,DLC5,2
DLC18,DLC20,1
DLC18,DLC22,1
DLC18,DLC9,3
DLC21,DLC16,2
DLC21,DLC12,1
DLC21,DLC5,1
DLC21,DLC10,3
