Source,Target,Weight
RM1,RM12,2
RM1,RM4,4
RM1,RM6,2
RM1,RM14,1
RM1,RM8,1
RM12,RM4,8
RM12,RM6,2
RM12,RM2,2
RM12,RM14,3
RM12,RM8,12
RM12,RM10,3
RM12,RM11,2
RM12,RM9,9
RM12,RM22,13
RM4,RM1,1
RM4,RM12,14
RM4,RM6,3
RM4,RM2,4
RM4,RM14,8
RM4,RM8,16
RM4,RM10,3
RM4,RM11,1
RM4,RM9,1
RM4,RM22,3
RM6,RM1,5
RM6,RM12,1
RM6,RM4,5
RM6,RM2,7
RM6,RM14,1
RM6,RM8,3
RM6,RM10,8
RM6,RM11,1
RM6,RM22,2
RM2,RM1,1
RM2,RM12,1
RM2,RM4,1
RM2,RM6,4
RM2,RM14,5
RM2,RM8,1
RM2,RM10,17
RM2,RM11,12
RM2,RM9,4
RM2,RM22,8
RM14,RM12,7
RM14,RM4,8
RM14,RM6,4
RM14,RM2,5
RM14,RM8,8
RM14,RM10,4
RM14,RM9,2
RM14,RM22,5
RM8,RM1,1
RM8,RM12,13
RM8,RM4,8
RM8,RM6,2
RM8,RM2,5
RM8,RM14,7
RM8,RM10,9
RM8,RM11,3
RM8,RM9,8
RM8,RM22,15
RM10,RM12,3
RM10,RM4,3
RM10,RM6,2
RM10,RM2,13
RM10,RM14,4
RM10,RM8,14
RM10,RM11,6
RM10,RM9,7
RM10,RM22,11
RM11,RM12,3
RM11,RM2,7
RM11,RM8,4
RM11,RM10,10
RM11,RM9,1
RM11,RM22,3
RM9,RM12,3
RM9,RM4,1
RM9,RM2,2
RM9,RM14,1
RM9,RM8,7
RM9,RM10,1
RM9,RM11,5
RM9,RM22,5
RM22,RM12,11
RM22,RM4,6
RM22,RM6,1
RM22,RM2,5
RM22,RM14,3
RM22,RM8,9
RM22,RM10,11
RM22,RM11,6
RM22,RM9,2
