Source,Target,Weight
BRC1,BRC18,3
BRC1,BRC25,1
BRC1,BRC3,5
BRC1,BRC5,2
BRC1,BRC4,2
BRC1,BRC20,4
BRC1,BRC15,5
BRC1,BRC8,1
BRC18,BRC1,2
BRC18,BRC25,7
BRC18,BRC3,1
BRC18,BRC5,14
BRC18,BRC4,1
BRC18,BRC15,4
BRC18,BRC9,4
BRC18,BRC10,7
BRC18,BRC8,13
BRC25,BRC1,8
BRC25,BRC18,18
BRC25,BRC3,3
BRC25,BRC5,3
BRC25,BRC15,1
BRC25,BRC9,1
BRC25,BRC8,2
BRC3,BRC1,2
BRC3,BRC18,1
BRC3,BRC25,6
BRC3,BRC5,6
BRC3,BRC4,4
BRC3,BRC20,7
BRC3,BRC15,6
BRC3,BRC9,3
BRC3,BRC10,3
BRC5,BRC1,2
BRC5,BRC18,5
BRC5,BRC25,9
BRC5,BRC3,8
BRC5,BRC4,11
BRC5,BRC20,9
BRC5,BRC15,6
BRC5,BRC9,4
BRC5,BRC10,9
BRC5,BRC8,10
BRC4,BRC1,1
BRC4,BRC18,2
BRC4,BRC25,4
BRC4,BRC3,7
BRC4,BRC5,19
BRC4,BRC20,10
BRC4,BRC15,3
BRC4,BRC9,2
BRC4,BRC10,4
BRC4,BRC8,2
BRC20,BRC1,2
BRC20,BRC18,2
BRC20,BRC3,7
BRC20,BRC5,2
BRC20,BRC4,14
BRC20,BRC15,11
BRC20,BRC9,1
BRC20,BRC10,8
BRC20,BRC8,2
BRC15,BRC18,2
BRC15,BRC3,3
BRC15,BRC5,4
BRC15,BRC4,2
BRC15,BRC20,10
BRC15,BRC9,3
BRC15,BRC10,9
BRC15,BRC8,3
BRC9,BRC18,3
BRC9,BRC25,1
BRC9,BRC3,1
BRC9,BRC5,2
BRC9,BRC4,2
BRC9,BRC20,3
BRC9,BRC15,3
BRC9,BRC10,7
BRC9,BRC8,1
BRC10,BRC18,1
BRC10,BRC25,3
BRC10,BRC3,2
BRC10,BRC5,6
BRC10,BRC4,7
BRC10,BRC20,7
BRC10,BRC15,8
BRC10,BRC9,6
BRC10,BRC8,5
BRC8,BRC18,14
BRC8,BRC25,3
BRC8,BRC5,8
BRC8,BRC4,3
BRC8,BRC15,5
BRC8,BRC9,2
BRC8,BRC10,6
