Id,Label
RM1,"K. Navas"
RM2,"Daniel Carvajal"
RM5,"R. Varane"
RM4,"Sergio Ramos"
RM12,"Marcelo"
RM14,"Casemiro"
RM10,"L. Modrić"
RM23,"M. Kovačić"
RM8,"T. Kroos"
RM9,"K. Benzema"
RM7,"Cristiano Ronaldo"
