Id,Label
BRC1,"M.terStegen"
BRC20,"SergiRoberto"
BRC3,"Piqué"
BRC25,"T.Vermaelen"
BRC18,"JordiAlba"
BRC4,"I.Rakitić"
BRC5,"SergioBusquets"
BRC8,"Iniesta"
BRC15,"Paulinho"
BRC10,"L.Messi"
BRC9,"L.Suárez"
