Id,Label
DLC25,"C. Pantilimon"
DLC2,"Juanfran"
DLC24,"F. Schär"
DLC12,"Sidnei"
DLC16,"Luisinho"
DLC9,"Fede Cartabia"
DLC22,"C. Borges"
DLC20,"Guilherme"
DLC18,"Z. Bakkali"
DLC17,"F. Valverde"
DLC7,"Lucas Pérez"
DLC5,"Pedro Mosquera"
