Source,Target,Weight
RM13,RM12,2
RM13,RM5,3
RM13,RM2,4
RM13,RM14,1
RM13,RM10,2
RM13,RM7,1
RM13,RM4,6
RM13,RM6,2
RM12,RM13,1
RM12,RM2,4
RM12,RM14,8
RM12,RM8,12
RM12,RM22,19
RM12,RM9,6
RM12,RM7,9
RM12,RM4,3
RM12,RM6,1
RM5,RM13,3
RM5,RM12,2
RM5,RM2,9
RM5,RM14,3
RM5,RM8,3
RM5,RM10,5
RM5,RM22,1
RM5,RM9,2
RM5,RM7,2
RM5,RM4,4
RM5,RM6,4
RM2,RM13,4
RM2,RM12,2
RM2,RM5,9
RM2,RM14,5
RM2,RM8,1
RM2,RM10,8
RM2,RM22,15
RM2,RM9,3
RM2,RM7,5
RM2,RM4,1
RM2,RM6,1
RM14,RM12,3
RM14,RM5,2
RM14,RM2,3
RM14,RM8,7
RM14,RM10,17
RM14,RM22,9
RM14,RM9,4
RM14,RM7,1
RM14,RM4,9
RM14,RM6,4
RM8,RM13,1
RM8,RM12,20
RM8,RM5,2
RM8,RM2,4
RM8,RM14,6
RM8,RM10,9
RM8,RM22,12
RM8,RM9,5
RM8,RM7,6
RM8,RM4,4
RM10,RM13,1
RM10,RM12,5
RM10,RM5,6
RM10,RM2,13
RM10,RM14,9
RM10,RM8,8
RM10,RM22,6
RM10,RM9,3
RM10,RM7,6
RM10,RM4,5
RM10,RM6,2
RM22,RM12,14
RM22,RM5,1
RM22,RM2,7
RM22,RM14,3
RM22,RM8,13
RM22,RM10,14
RM22,RM9,8
RM22,RM7,2
RM22,RM4,2
RM22,RM6,2
RM9,RM12,7
RM9,RM2,4
RM9,RM8,3
RM9,RM10,3
RM9,RM22,5
RM9,RM7,3
RM9,RM4,2
RM7,RM12,1
RM7,RM2,7
RM7,RM8,4
RM7,RM10,3
RM7,RM22,3
RM7,RM9,2
RM7,RM6,2
RM4,RM13,4
RM4,RM12,10
RM4,RM5,2
RM4,RM2,1
RM4,RM14,2
RM4,RM8,9
RM4,RM10,1
RM4,RM22,6
RM4,RM9,3
RM4,RM7,2
RM6,RM13,2
RM6,RM12,3
RM6,RM5,4
RM6,RM14,6
RM6,RM8,5
RM6,RM10,1
RM6,RM22,1
RM6,RM7,1
