Id,Label
RM13,"Kiko Casilla"
RM2,"Daniel Carvajal"
RM5,"R. Varane"
RM4,"Sergio Ramos"
RM12,"Marcelo"
RM10,"L. Modrić"
RM14,"Casemiro"
RM8,"T. Kroos"
RM22,"Isco"
RM7,"Cristiano Ronaldo"
RM9,"K. Benzema"
RM6,"Nacho"
