Source,Target,Weight
BARC1,BARC19,2
BARC1,BARC23,11
BARC1,BARC14,5
BARC1,BARC5,2
BARC1,BARC4,3
BARC1,BARC20,2
BARC19,BARC23,25
BARC19,BARC5,4
BARC19,BARC4,4
BARC19,BARC8,20
BARC19,BARC9,5
BARC19,BARC10,1
BARC19,BARC16,2
BARC23,BARC1,5
BARC23,BARC19,25
BARC23,BARC14,16
BARC23,BARC5,7
BARC23,BARC4,14
BARC23,BARC8,19
BARC23,BARC9,7
BARC23,BARC10,2
BARC23,BARC16,1
BARC14,BARC1,6
BARC14,BARC19,5
BARC14,BARC23,18
BARC14,BARC5,3
BARC14,BARC4,5
BARC14,BARC8,3
BARC14,BARC20,11
BARC14,BARC9,2
BARC14,BARC10,8
BARC14,BARC16,4
BARC5,BARC19,3
BARC5,BARC23,6
BARC5,BARC14,8
BARC5,BARC4,3
BARC5,BARC8,7
BARC5,BARC20,5
BARC5,BARC9,1
BARC5,BARC10,5
BARC5,BARC16,1
BARC4,BARC1,1
BARC4,BARC19,3
BARC4,BARC23,7
BARC4,BARC14,13
BARC4,BARC5,2
BARC4,BARC8,5
BARC4,BARC20,11
BARC4,BARC9,2
BARC4,BARC10,10
BARC4,BARC16,7
BARC8,BARC1,1
BARC8,BARC19,19
BARC8,BARC23,12
BARC8,BARC14,2
BARC8,BARC5,7
BARC8,BARC4,8
BARC8,BARC20,3
BARC8,BARC9,5
BARC8,BARC10,4
BARC8,BARC16,2
BARC20,BARC1,4
BARC20,BARC23,2
BARC20,BARC14,9
BARC20,BARC5,2
BARC20,BARC4,15
BARC20,BARC8,1
BARC20,BARC9,2
BARC20,BARC10,10
BARC20,BARC16,18
BARC9,BARC19,4
BARC9,BARC23,2
BARC9,BARC5,2
BARC9,BARC4,1
BARC9,BARC8,5
BARC9,BARC20,2
BARC9,BARC10,5
BARC9,BARC16,1
BARC10,BARC19,2
BARC10,BARC14,2
BARC10,BARC4,4
BARC10,BARC8,7
BARC10,BARC20,9
BARC10,BARC9,4
BARC10,BARC16,3
BARC16,BARC1,1
BARC16,BARC23,3
BARC16,BARC14,4
BARC16,BARC5,2
BARC16,BARC4,5
BARC16,BARC8,1
BARC16,BARC20,18
BARC16,BARC9,2
BARC16,BARC10,4
