Source,Target,Weight
MAL25,MAL18,1
MAL25,MAL8,1
MAL25,MAL5,1
MAL25,MAL16,1
MAL7,MAL22,2
MAL7,MAL8,4
MAL7,MAL11,7
MAL7,MAL16,2
MAL7,MAL20,2
MAL7,MAL24,1
MAL7,MAL10,1
MAL22,MAL25,2
MAL22,MAL7,3
MAL22,MAL4,3
MAL22,MAL8,2
MAL22,MAL5,1
MAL22,MAL11,4
MAL22,MAL20,3
MAL22,MAL10,1
MAL4,MAL25,2
MAL4,MAL22,2
MAL4,MAL18,7
MAL4,MAL8,7
MAL4,MAL5,5
MAL4,MAL16,3
MAL4,MAL20,4
MAL4,MAL24,1
MAL4,MAL10,1
MAL18,MAL25,1
MAL18,MAL22,1
MAL18,MAL4,10
MAL18,MAL8,3
MAL18,MAL5,2
MAL18,MAL11,2
MAL18,MAL16,5
MAL18,MAL20,7
MAL18,MAL10,3
MAL8,MAL7,4
MAL8,MAL22,4
MAL8,MAL18,5
MAL8,MAL5,5
MAL8,MAL11,9
MAL8,MAL16,3
MAL8,MAL20,2
MAL8,MAL24,1
MAL8,MAL10,2
MAL5,MAL7,1
MAL5,MAL22,1
MAL5,MAL4,3
MAL5,MAL18,6
MAL5,MAL8,5
MAL5,MAL11,1
MAL5,MAL16,3
MAL5,MAL20,1
MAL11,MAL7,7
MAL11,MAL22,1
MAL11,MAL18,1
MAL11,MAL8,2
MAL11,MAL5,1
MAL11,MAL16,6
MAL11,MAL20,3
MAL11,MAL24,4
MAL11,MAL10,2
MAL16,MAL7,2
MAL16,MAL4,1
MAL16,MAL18,8
MAL16,MAL8,3
MAL16,MAL5,5
MAL16,MAL20,5
MAL20,MAL25,1
MAL20,MAL4,2
MAL20,MAL18,8
MAL20,MAL8,3
MAL20,MAL11,1
MAL20,MAL16,4
MAL20,MAL10,5
MAL24,MAL7,1
MAL24,MAL5,2
MAL24,MAL11,1
MAL24,MAL16,1
MAL24,MAL20,2
MAL10,MAL7,2
MAL10,MAL8,3
MAL10,MAL11,5
MAL10,MAL16,1
MAL10,MAL20,1
