Source,Target,Weight
DLC13,DLC12,2
DLC13,DLC24,3
DLC13,DLC2,1
DLC13,DLC11,1
DLC13,DLC20,1
DLC13,DLC8,1
DLC13,DLC17,1
DLC3,DLC13,1
DLC3,DLC2,1
DLC3,DLC22,2
DLC3,DLC15,11
DLC3,DLC11,3
DLC3,DLC7,5
DLC3,DLC20,5
DLC3,DLC18,2
DLC12,DLC3,3
DLC12,DLC24,1
DLC12,DLC2,2
DLC12,DLC22,2
DLC12,DLC15,2
DLC12,DLC11,1
DLC12,DLC7,1
DLC12,DLC20,3
DLC12,DLC8,2
DLC24,DLC13,2
DLC24,DLC3,1
DLC24,DLC2,1
DLC24,DLC22,1
DLC24,DLC15,1
DLC24,DLC11,5
DLC24,DLC20,2
DLC24,DLC8,2
DLC24,DLC17,1
DLC2,DLC13,1
DLC2,DLC3,2
DLC2,DLC24,3
DLC2,DLC22,4
DLC2,DLC15,4
DLC2,DLC11,10
DLC2,DLC7,1
DLC2,DLC20,2
DLC2,DLC8,3
DLC2,DLC17,2
DLC2,DLC18,2
DLC22,DLC3,3
DLC22,DLC12,1
DLC22,DLC24,1
DLC22,DLC2,5
DLC22,DLC15,5
DLC22,DLC11,3
DLC22,DLC7,2
DLC22,DLC20,1
DLC22,DLC8,7
DLC22,DLC17,2
DLC15,DLC3,3
DLC15,DLC12,1
DLC15,DLC2,5
DLC15,DLC22,3
DLC15,DLC11,5
DLC15,DLC7,6
DLC15,DLC20,1
DLC15,DLC8,3
DLC15,DLC18,1
DLC11,DLC3,2
DLC11,DLC24,1
DLC11,DLC2,6
DLC11,DLC22,5
DLC11,DLC15,3
DLC11,DLC7,2
DLC11,DLC20,4
DLC11,DLC8,11
DLC11,DLC17,1
DLC11,DLC18,1
DLC7,DLC3,2
DLC7,DLC12,1
DLC7,DLC2,1
DLC7,DLC22,3
DLC7,DLC11,2
DLC7,DLC20,2
DLC7,DLC8,4
DLC7,DLC18,2
DLC20,DLC3,4
DLC20,DLC12,6
DLC20,DLC24,4
DLC20,DLC2,6
DLC20,DLC22,1
DLC20,DLC11,2
DLC20,DLC7,1
DLC20,DLC8,6
DLC8,DLC3,1
DLC8,DLC24,2
DLC8,DLC2,2
DLC8,DLC22,1
DLC8,DLC15,6
DLC8,DLC11,5
DLC8,DLC7,5
DLC8,DLC20,8
DLC17,DLC3,2
DLC17,DLC2,5
DLC17,DLC22,1
DLC17,DLC15,1
DLC17,DLC7,1
DLC17,DLC18,2
DLC18,DLC3,2
DLC18,DLC2,1
DLC18,DLC22,1
DLC18,DLC15,4
DLC18,DLC7,1
DLC18,DLC17,1
