Source,Target,Weight
BARC1,BARC25,10
BARC1,BARC3,12
BARC1,BARC20,3
BARC1,BARC4,1
BARC1,BARC15,1
BARC1,BARC8,1
BARC1,BARC10,1
BARC1,BARC22,3
BARC1,BARC21,1
BARC18,BARC1,2
BARC18,BARC25,12
BARC18,BARC3,1
BARC18,BARC20,3
BARC18,BARC4,5
BARC18,BARC15,12
BARC18,BARC8,9
BARC18,BARC9,7
BARC18,BARC10,6
BARC18,BARC22,1
BARC18,BARC21,6
BARC25,BARC1,12
BARC25,BARC18,16
BARC25,BARC3,9
BARC25,BARC20,2
BARC25,BARC4,2
BARC25,BARC15,5
BARC25,BARC8,5
BARC25,BARC9,1
BARC25,BARC10,1
BARC25,BARC22,1
BARC3,BARC1,10
BARC3,BARC18,4
BARC3,BARC25,5
BARC3,BARC20,19
BARC3,BARC4,8
BARC3,BARC15,1
BARC3,BARC8,3
BARC3,BARC9,4
BARC3,BARC10,1
BARC3,BARC22,6
BARC20,BARC18,3
BARC20,BARC3,9
BARC20,BARC4,9
BARC20,BARC15,7
BARC20,BARC8,7
BARC20,BARC9,3
BARC20,BARC10,6
BARC20,BARC22,14
BARC20,BARC21,2
BARC4,BARC1,1
BARC4,BARC18,11
BARC4,BARC25,4
BARC4,BARC3,4
BARC4,BARC20,4
BARC4,BARC15,7
BARC4,BARC8,5
BARC4,BARC9,3
BARC4,BARC10,7
BARC4,BARC22,1
BARC4,BARC21,7
BARC15,BARC1,1
BARC15,BARC18,7
BARC15,BARC25,7
BARC15,BARC3,6
BARC15,BARC20,6
BARC15,BARC4,5
BARC15,BARC8,4
BARC15,BARC9,7
BARC15,BARC10,9
BARC15,BARC22,3
BARC15,BARC21,1
BARC8,BARC18,8
BARC8,BARC25,2
BARC8,BARC3,3
BARC8,BARC20,7
BARC8,BARC4,4
BARC8,BARC15,6
BARC8,BARC9,4
BARC8,BARC10,10
BARC8,BARC22,1
BARC9,BARC18,2
BARC9,BARC20,1
BARC9,BARC4,1
BARC9,BARC15,4
BARC9,BARC8,3
BARC9,BARC10,10
BARC9,BARC22,1
BARC10,BARC18,4
BARC10,BARC3,1
BARC10,BARC20,4
BARC10,BARC4,3
BARC10,BARC15,7
BARC10,BARC8,9
BARC10,BARC9,11
BARC10,BARC22,3
BARC10,BARC21,5
BARC22,BARC1,1
BARC22,BARC18,1
BARC22,BARC3,3
BARC22,BARC20,10
BARC22,BARC4,2
BARC22,BARC15,4
BARC22,BARC8,1
BARC22,BARC9,3
BARC22,BARC10,7
BARC22,BARC21,3
BARC21,BARC18,5
BARC21,BARC25,2
BARC21,BARC20,1
BARC21,BARC4,1
BARC21,BARC15,2
BARC21,BARC9,3
BARC21,BARC10,5
BARC21,BARC22,1
