Source,Target,Weight
DLC25,DLC16,1
DLC25,DLC12,1
DLC25,DLC2,1
DLC25,DLC20,1
DLC25,DLC9,1
DLC25,DLC7,2
DLC25,DLC22,2
DLC16,DLC12,4
DLC16,DLC17,5
DLC16,DLC7,1
DLC16,DLC18,8
DLC12,DLC25,1
DLC12,DLC16,11
DLC12,DLC24,8
DLC12,DLC2,4
DLC12,DLC20,3
DLC12,DLC17,1
DLC12,DLC7,1
DLC12,DLC18,1
DLC24,DLC25,5
DLC24,DLC16,3
DLC24,DLC12,2
DLC24,DLC2,4
DLC24,DLC20,3
DLC24,DLC9,6
DLC24,DLC22,2
DLC24,DLC18,1
DLC2,DLC25,2
DLC2,DLC16,1
DLC2,DLC12,2
DLC2,DLC24,9
DLC2,DLC20,3
DLC2,DLC9,18
DLC2,DLC7,1
DLC2,DLC22,6
DLC20,DLC16,3
DLC20,DLC12,4
DLC20,DLC24,4
DLC20,DLC2,7
DLC20,DLC17,6
DLC20,DLC9,5
DLC20,DLC7,1
DLC20,DLC22,4
DLC20,DLC18,1
DLC17,DLC16,3
DLC17,DLC12,2
DLC17,DLC24,1
DLC17,DLC2,2
DLC17,DLC20,5
DLC17,DLC9,6
DLC17,DLC7,4
DLC17,DLC22,1
DLC17,DLC18,5
DLC9,DLC16,3
DLC9,DLC12,1
DLC9,DLC2,18
DLC9,DLC20,3
DLC9,DLC17,3
DLC9,DLC7,7
DLC9,DLC22,5
DLC9,DLC18,1
DLC7,DLC16,4
DLC7,DLC20,2
DLC7,DLC17,1
DLC7,DLC9,3
DLC7,DLC22,2
DLC7,DLC18,5
DLC22,DLC16,2
DLC22,DLC2,4
DLC22,DLC20,3
DLC22,DLC17,1
DLC22,DLC9,9
DLC22,DLC7,1
DLC22,DLC18,1
DLC18,DLC16,3
DLC18,DLC12,3
DLC18,DLC20,2
DLC18,DLC17,8
DLC18,DLC7,3
