Source,Target,Weight
AM13,AM3,1
AM13,AM19,6
AM13,AM2,3
AM13,AM20,1
AM13,AM6,1
AM13,AM7,1
AM13,AM10,1
AM3,AM19,7
AM3,AM2,4
AM3,AM20,1
AM3,AM5,3
AM3,AM14,6
AM3,AM8,8
AM3,AM6,9
AM3,AM11,2
AM3,AM7,6
AM3,AM10,8
AM19,AM13,3
AM19,AM3,10
AM19,AM2,13
AM19,AM5,4
AM19,AM14,17
AM19,AM8,6
AM19,AM6,4
AM19,AM11,2
AM19,AM7,2
AM19,AM10,1
AM2,AM13,7
AM2,AM3,1
AM2,AM19,7
AM2,AM20,9
AM2,AM5,12
AM2,AM14,12
AM2,AM8,8
AM2,AM6,6
AM2,AM11,2
AM20,AM3,1
AM20,AM19,2
AM20,AM2,2
AM20,AM5,1
AM20,AM14,15
AM20,AM8,3
AM20,AM6,8
AM20,AM11,4
AM20,AM7,3
AM20,AM10,1
AM5,AM3,14
AM5,AM19,3
AM5,AM2,4
AM5,AM20,2
AM5,AM14,8
AM5,AM8,5
AM5,AM6,4
AM5,AM11,4
AM14,AM13,1
AM14,AM3,9
AM14,AM19,3
AM14,AM2,10
AM14,AM20,22
AM14,AM5,8
AM14,AM8,14
AM14,AM6,17
AM14,AM11,2
AM14,AM7,3
AM14,AM10,3
AM8,AM3,10
AM8,AM19,10
AM8,AM2,5
AM8,AM20,4
AM8,AM5,1
AM8,AM14,9
AM8,AM6,5
AM8,AM11,1
AM8,AM7,3
AM8,AM10,3
AM6,AM13,2
AM6,AM3,6
AM6,AM19,5
AM6,AM2,6
AM6,AM20,6
AM6,AM5,4
AM6,AM14,12
AM6,AM8,6
AM6,AM11,4
AM6,AM7,6
AM11,AM3,1
AM11,AM2,1
AM11,AM20,2
AM11,AM14,1
AM11,AM8,2
AM11,AM6,1
AM11,AM7,2
AM11,AM10,1
AM7,AM3,1
AM7,AM2,1
AM7,AM20,4
AM7,AM14,1
AM7,AM8,3
AM7,AM6,4
AM7,AM11,1
AM7,AM10,3
AM10,AM3,5
AM10,AM19,3
AM10,AM2,2
AM10,AM14,2
AM10,AM8,1
AM10,AM7,1
