Source,Target,Weight
MAL1,MAL15,2
MAL1,MAL3,3
MAL1,MAL18,4
MAL1,MAL28,1
MAL1,MAL9,2
MAL1,MAL11,2
MAL15,MAL3,3
MAL15,MAL5,1
MAL15,MAL8,9
MAL15,MAL14,1
MAL15,MAL28,2
MAL15,MAL9,2
MAL15,MAL11,2
MAL15,MAL10,1
MAL3,MAL1,4
MAL3,MAL15,2
MAL3,MAL4,5
MAL3,MAL5,1
MAL3,MAL8,2
MAL3,MAL14,1
MAL3,MAL9,2
MAL4,MAL1,2
MAL4,MAL3,2
MAL4,MAL18,7
MAL4,MAL5,1
MAL4,MAL8,1
MAL4,MAL14,2
MAL4,MAL28,2
MAL4,MAL9,3
MAL18,MAL4,5
MAL18,MAL5,3
MAL18,MAL8,2
MAL18,MAL14,3
MAL18,MAL28,6
MAL18,MAL9,5
MAL18,MAL10,2
MAL5,MAL15,4
MAL5,MAL3,2
MAL5,MAL18,3
MAL5,MAL8,4
MAL5,MAL14,3
MAL5,MAL28,1
MAL5,MAL9,1
MAL5,MAL11,3
MAL8,MAL1,1
MAL8,MAL15,6
MAL8,MAL3,2
MAL8,MAL18,2
MAL8,MAL5,3
MAL8,MAL14,2
MAL8,MAL28,1
MAL8,MAL11,2
MAL8,MAL10,1
MAL14,MAL1,1
MAL14,MAL15,3
MAL14,MAL3,2
MAL14,MAL4,1
MAL14,MAL18,12
MAL14,MAL5,2
MAL14,MAL8,1
MAL14,MAL28,4
MAL14,MAL9,4
MAL14,MAL10,1
MAL28,MAL1,1
MAL28,MAL15,1
MAL28,MAL4,3
MAL28,MAL18,3
MAL28,MAL14,7
MAL28,MAL9,4
MAL28,MAL11,2
MAL9,MAL15,1
MAL9,MAL5,2
MAL9,MAL8,2
MAL9,MAL14,7
MAL9,MAL28,3
MAL9,MAL11,2
MAL9,MAL10,1
MAL11,MAL15,5
MAL11,MAL5,1
MAL11,MAL8,3
MAL11,MAL28,2
MAL11,MAL9,2
MAL10,MAL15,2
MAL10,MAL18,2
MAL10,MAL8,2
MAL10,MAL14,2
