Source,Target,Weight
DLC13,DLC24,4
DLC13,DLC23,1
DLC13,DLC17,1
DLC13,DLC20,2
DLC13,DLC22,1
DLC13,DLC7,1
DLC13,DLC12,3
DLC13,DLC6,1
DLC16,DLC13,1
DLC16,DLC24,2
DLC16,DLC17,4
DLC16,DLC20,5
DLC16,DLC18,16
DLC16,DLC7,2
DLC16,DLC12,4
DLC16,DLC6,7
DLC16,DLC5,4
DLC24,DLC13,7
DLC24,DLC16,1
DLC24,DLC23,4
DLC24,DLC17,2
DLC24,DLC20,7
DLC24,DLC18,1
DLC24,DLC22,1
DLC24,DLC9,5
DLC24,DLC7,3
DLC24,DLC12,8
DLC24,DLC6,3
DLC24,DLC5,1
DLC23,DLC13,4
DLC23,DLC24,4
DLC23,DLC17,1
DLC23,DLC20,1
DLC23,DLC18,1
DLC23,DLC22,2
DLC23,DLC9,6
DLC23,DLC7,1
DLC17,DLC13,1
DLC17,DLC16,3
DLC17,DLC24,5
DLC17,DLC20,4
DLC17,DLC18,3
DLC17,DLC22,4
DLC17,DLC9,1
DLC17,DLC12,2
DLC20,DLC16,7
DLC20,DLC24,8
DLC20,DLC23,7
DLC20,DLC17,6
DLC20,DLC18,1
DLC20,DLC22,6
DLC20,DLC9,2
DLC20,DLC7,2
DLC20,DLC12,2
DLC20,DLC6,1
DLC20,DLC5,1
DLC18,DLC16,10
DLC18,DLC17,2
DLC18,DLC20,4
DLC18,DLC9,1
DLC18,DLC7,1
DLC18,DLC6,1
DLC22,DLC24,1
DLC22,DLC23,3
DLC22,DLC17,4
DLC22,DLC20,3
DLC22,DLC18,1
DLC22,DLC9,6
DLC22,DLC7,3
DLC22,DLC12,1
DLC9,DLC16,2
DLC9,DLC24,2
DLC9,DLC23,6
DLC9,DLC20,1
DLC9,DLC22,7
DLC7,DLC16,1
DLC7,DLC20,1
DLC7,DLC18,1
DLC7,DLC22,4
DLC7,DLC9,1
DLC12,DLC13,3
DLC12,DLC16,8
DLC12,DLC24,6
DLC12,DLC23,1
DLC12,DLC17,2
DLC12,DLC20,2
DLC12,DLC9,1
DLC12,DLC7,1
DLC6,DLC16,5
DLC6,DLC24,3
DLC6,DLC17,2
DLC6,DLC20,3
DLC6,DLC18,2
DLC6,DLC7,1
DLC6,DLC5,1
DLC5,DLC16,3
DLC5,DLC17,2
DLC5,DLC18,1
DLC5,DLC6,2
