Id,Label
MAL1,"Roberto"
MAL18,"R. Rosales"
MAL4,"Luis Hernández"
MAL22,"P. Baysse"
MAL7,"Juankar"
MAL20,"Keko"
MAL5,"E. Rolón"
MAL8,"Adrián"
MAL11,"Chory Castro"
MAL24,"D. Rolán"
MAL16,"A. Peñaranda"
MAL9,"Borja Bastón"
MAL10,"Juanpi"
MAL17,"Javi Ontiveros"
