Id,Label
DLC13,"Rubén"
DLC23,"Gerard Valentín"
DLC24,"F. Schär"
DLC12,"Sidnei"
DLC16,"Luisinho"
DLC22,"C. Borges"
DLC20,"Guilherme"
DLC17,"F. Valverde"
DLC9,"Fede Cartabia"
DLC7,"Lucas Pérez"
DLC18,"Z. Bakkali"
DLC5,"Pedro Mosquera"
DLC6,"Albentosa"
