Id,Label
AM13,"J. Oblak"
AM16,"Š. Vrsaljko"
AM24,"J. Giménez"
AM2,"D. Godín"
AM19,"L. Hernández"
AM6,"Koke"
AM5,"Thomas"
AM8,"Saúl"
AM11,"Á. Correa"
AM17,"L. Vietto"
AM10,"Y. Carrasco"
AM14,"Gabi"
