Source,Target,Weight
LP13,LP23,2
LP13,LP17,2
LP13,LP3,3
LP13,LP2,1
LP13,LP14,2
LP13,LP11,1
LP13,LP24,1
LP13,LP9,1
LP13,LP27,2
LP23,LP17,8
LP23,LP21,8
LP23,LP14,8
LP23,LP11,8
LP23,LP24,4
LP23,LP9,2
LP17,LP13,7
LP17,LP23,9
LP17,LP3,7
LP17,LP21,12
LP17,LP14,5
LP17,LP11,12
LP17,LP9,2
LP17,LP27,2
LP3,LP13,3
LP3,LP23,2
LP3,LP17,12
LP3,LP2,6
LP3,LP21,5
LP3,LP14,6
LP3,LP11,2
LP3,LP24,6
LP3,LP27,4
LP2,LP13,1
LP2,LP17,2
LP2,LP3,7
LP2,LP21,5
LP2,LP14,5
LP2,LP11,1
LP2,LP24,9
LP2,LP9,1
LP2,LP27,6
LP21,LP23,8
LP21,LP17,6
LP21,LP3,11
LP21,LP2,3
LP21,LP14,6
LP21,LP11,9
LP21,LP24,9
LP21,LP9,3
LP21,LP27,2
LP14,LP13,4
LP14,LP23,4
LP14,LP17,8
LP14,LP3,4
LP14,LP2,5
LP14,LP21,11
LP14,LP11,5
LP14,LP24,6
LP14,LP9,2
LP14,LP27,10
LP11,LP23,8
LP11,LP17,5
LP11,LP3,1
LP11,LP2,1
LP11,LP21,10
LP11,LP14,8
LP11,LP24,3
LP11,LP9,1
LP11,LP27,4
LP24,LP23,2
LP24,LP17,1
LP24,LP3,3
LP24,LP2,9
LP24,LP21,7
LP24,LP14,7
LP24,LP11,1
LP24,LP9,3
LP24,LP27,3
LP9,LP17,1
LP9,LP21,5
LP9,LP14,1
LP9,LP11,1
LP9,LP24,1
LP27,LP23,2
LP27,LP17,5
LP27,LP3,5
LP27,LP2,6
LP27,LP21,2
LP27,LP14,6
LP27,LP11,6
LP27,LP24,2
LP27,LP9,3
