Source,Target,Weight
MAL1,MAL3,1
MAL1,MAL4,2
MAL1,MAL18,3
MAL1,MAL8,2
MAL1,MAL11,1
MAL1,MAL20,1
MAL1,MAL24,1
MAL1,MAL22,2
MAL3,MAL1,3
MAL3,MAL8,3
MAL3,MAL14,1
MAL3,MAL11,7
MAL3,MAL16,1
MAL3,MAL24,1
MAL3,MAL7,1
MAL3,MAL22,2
MAL4,MAL1,4
MAL4,MAL3,1
MAL4,MAL18,11
MAL4,MAL8,3
MAL4,MAL14,2
MAL4,MAL11,1
MAL4,MAL20,1
MAL4,MAL22,1
MAL18,MAL4,3
MAL18,MAL8,4
MAL18,MAL14,10
MAL18,MAL11,3
MAL18,MAL20,11
MAL18,MAL16,1
MAL18,MAL24,8
MAL18,MAL7,1
MAL8,MAL1,2
MAL8,MAL3,6
MAL8,MAL4,2
MAL8,MAL18,6
MAL8,MAL14,5
MAL8,MAL11,4
MAL8,MAL20,2
MAL8,MAL16,2
MAL8,MAL24,2
MAL8,MAL7,3
MAL8,MAL22,7
MAL8,MAL9,1
MAL14,MAL3,2
MAL14,MAL4,1
MAL14,MAL18,14
MAL14,MAL8,5
MAL14,MAL11,1
MAL14,MAL20,3
MAL14,MAL16,3
MAL14,MAL24,4
MAL14,MAL7,2
MAL14,MAL9,1
MAL11,MAL1,1
MAL11,MAL3,1
MAL11,MAL4,3
MAL11,MAL8,6
MAL11,MAL14,3
MAL11,MAL20,1
MAL11,MAL16,2
MAL11,MAL24,7
MAL11,MAL7,1
MAL20,MAL4,1
MAL20,MAL18,2
MAL20,MAL8,2
MAL20,MAL14,2
MAL20,MAL11,3
MAL20,MAL16,6
MAL20,MAL24,5
MAL16,MAL3,2
MAL16,MAL18,2
MAL16,MAL8,1
MAL16,MAL14,2
MAL16,MAL11,1
MAL16,MAL20,2
MAL16,MAL24,1
MAL16,MAL7,1
MAL24,MAL4,1
MAL24,MAL18,4
MAL24,MAL8,3
MAL24,MAL14,5
MAL24,MAL11,2
MAL24,MAL16,3
MAL24,MAL9,1
MAL7,MAL8,3
MAL7,MAL14,1
MAL7,MAL11,3
MAL7,MAL16,1
MAL7,MAL24,1
MAL22,MAL1,3
MAL22,MAL3,5
MAL22,MAL4,2
MAL22,MAL8,2
MAL22,MAL14,1
MAL22,MAL11,2
MAL9,MAL18,1
MAL9,MAL14,1
