Source,Target,Weight
LP13,LP15,2
LP13,LP22,5
LP13,LP3,6
LP13,LP12,3
LP13,LP25,4
LP13,LP21,3
LP13,LP10,2
LP13,LP9,1
LP13,LP24,1
LP13,LP14,2
LP15,LP13,3
LP15,LP22,3
LP15,LP3,1
LP15,LP25,7
LP15,LP21,5
LP15,LP10,1
LP15,LP9,2
LP15,LP24,11
LP15,LP14,3
LP22,LP13,9
LP22,LP15,6
LP22,LP3,4
LP22,LP25,5
LP22,LP21,4
LP22,LP9,1
LP22,LP24,2
LP22,LP14,2
LP3,LP13,2
LP3,LP15,3
LP3,LP22,7
LP3,LP12,4
LP3,LP25,6
LP3,LP21,4
LP3,LP10,1
LP3,LP24,3
LP3,LP14,3
LP12,LP13,3
LP12,LP15,1
LP12,LP22,1
LP12,LP3,9
LP12,LP25,8
LP12,LP21,5
LP12,LP10,9
LP12,LP9,2
LP12,LP24,3
LP12,LP14,4
LP25,LP13,3
LP25,LP15,10
LP25,LP22,8
LP25,LP3,1
LP25,LP12,19
LP25,LP21,15
LP25,LP10,3
LP25,LP9,2
LP25,LP24,8
LP25,LP14,19
LP21,LP13,2
LP21,LP15,5
LP21,LP22,1
LP21,LP3,5
LP21,LP12,5
LP21,LP25,18
LP21,LP10,9
LP21,LP9,1
LP21,LP24,5
LP21,LP14,8
LP10,LP15,3
LP10,LP3,1
LP10,LP12,7
LP10,LP25,6
LP10,LP21,5
LP10,LP9,5
LP10,LP24,2
LP10,LP14,1
LP9,LP25,2
LP9,LP21,1
LP9,LP10,3
LP9,LP14,1
LP24,LP15,4
LP24,LP3,1
LP24,LP12,1
LP24,LP25,12
LP24,LP21,11
LP24,LP10,5
LP24,LP9,3
LP24,LP14,3
LP14,LP13,2
LP14,LP15,4
LP14,LP22,1
LP14,LP3,4
LP14,LP12,4
LP14,LP25,14
LP14,LP21,6
LP14,LP10,7
LP14,LP24,2
