Id,Label
LP13,"L. Chichizola"
LP12,"Michel"
LP22,"Ximo Navarro"
LP16,"Aythami"
LP23,"Dani Castellano"
LP25,"A. Aquilani"
LP18,"Javi Castellano"
LP10,"O. Tannane"
LP21,"Jonathan Viera"
LP8,"A. Halilović"
LP9,"J. Calleri"
LP7,"L. Rémy"
