Source,Target,Weight
MAL1,MAL15,1
MAL1,MAL3,2
MAL1,MAL18,3
MAL1,MAL28,3
MAL1,MAL9,1
MAL15,MAL1,1
MAL15,MAL3,2
MAL15,MAL14,1
MAL15,MAL6,2
MAL15,MAL28,7
MAL15,MAL9,4
MAL15,MAL8,2
MAL15,MAL17,1
MAL3,MAL1,3
MAL3,MAL15,5
MAL3,MAL4,10
MAL3,MAL14,4
MAL3,MAL6,4
MAL3,MAL9,5
MAL3,MAL8,2
MAL3,MAL17,1
MAL4,MAL1,4
MAL4,MAL15,1
MAL4,MAL3,3
MAL4,MAL18,8
MAL4,MAL14,4
MAL4,MAL6,4
MAL4,MAL28,5
MAL4,MAL8,2
MAL4,MAL20,5
MAL4,MAL17,2
MAL18,MAL4,6
MAL18,MAL14,3
MAL18,MAL6,8
MAL18,MAL9,1
MAL18,MAL8,4
MAL18,MAL20,6
MAL18,MAL17,1
MAL14,MAL15,7
MAL14,MAL3,4
MAL14,MAL4,4
MAL14,MAL18,1
MAL14,MAL6,6
MAL14,MAL28,6
MAL14,MAL9,4
MAL14,MAL8,2
MAL14,MAL20,4
MAL14,MAL17,1
MAL6,MAL15,2
MAL6,MAL3,7
MAL6,MAL4,4
MAL6,MAL18,4
MAL6,MAL14,6
MAL6,MAL28,6
MAL6,MAL9,2
MAL6,MAL8,2
MAL6,MAL20,2
MAL6,MAL17,3
MAL28,MAL15,4
MAL28,MAL3,4
MAL28,MAL18,4
MAL28,MAL14,3
MAL28,MAL6,6
MAL28,MAL9,5
MAL28,MAL8,1
MAL28,MAL20,2
MAL9,MAL15,1
MAL9,MAL4,3
MAL9,MAL18,1
MAL9,MAL14,2
MAL9,MAL6,2
MAL9,MAL28,3
MAL9,MAL20,1
MAL9,MAL17,1
MAL8,MAL15,1
MAL8,MAL18,3
MAL8,MAL14,8
MAL8,MAL28,2
MAL8,MAL20,2
MAL20,MAL4,1
MAL20,MAL18,7
MAL20,MAL14,3
MAL20,MAL6,3
MAL20,MAL28,3
MAL20,MAL8,1
MAL17,MAL4,1
MAL17,MAL18,2
MAL17,MAL14,1
MAL17,MAL6,1
MAL17,MAL28,1
