Id,Label
MAL1,"Roberto"
MAL18,"R. Rosales"
MAL4,"Luis Hernández"
MAL3,"Diego González"
MAL15,"F. Ricca"
MAL20,"Keko"
MAL6,"Z. Kuzmanović"
MAL14,"Recio"
MAL28,"Álex Mula"
MAL8,"Adrián"
MAL9,"Borja Bastón"
MAL17,"Javi Ontiveros"
