Source,Target,Weight
RM13,RM4,5
RM13,RM3,2
RM13,RM7,1
RM12,RM13,1
RM12,RM4,8
RM12,RM3,1
RM12,RM8,5
RM12,RM22,24
RM12,RM20,7
RM12,RM7,8
RM12,RM9,4
RM12,RM14,2
RM4,RM13,3
RM4,RM12,17
RM4,RM3,5
RM4,RM6,4
RM4,RM8,14
RM4,RM22,11
RM4,RM20,7
RM4,RM7,6
RM4,RM9,1
RM4,RM14,3
RM3,RM13,7
RM3,RM12,1
RM3,RM4,7
RM3,RM6,9
RM3,RM8,6
RM3,RM22,1
RM3,RM20,9
RM3,RM14,3
RM6,RM13,1
RM6,RM4,1
RM6,RM3,8
RM6,RM8,4
RM6,RM22,6
RM6,RM20,11
RM6,RM7,8
RM6,RM14,5
RM8,RM12,14
RM8,RM4,7
RM8,RM3,5
RM8,RM6,6
RM8,RM22,14
RM8,RM20,10
RM8,RM7,5
RM8,RM14,5
RM22,RM12,21
RM22,RM4,2
RM22,RM3,2
RM22,RM6,4
RM22,RM8,16
RM22,RM20,8
RM22,RM7,6
RM22,RM9,4
RM22,RM14,2
RM20,RM12,7
RM20,RM4,11
RM20,RM3,6
RM20,RM6,15
RM20,RM8,5
RM20,RM22,7
RM20,RM7,5
RM20,RM9,1
RM20,RM14,5
RM7,RM12,1
RM7,RM4,2
RM7,RM6,4
RM7,RM8,9
RM7,RM22,5
RM7,RM20,3
RM7,RM9,1
RM7,RM14,2
RM9,RM12,1
RM9,RM8,4
RM9,RM22,2
RM9,RM20,3
RM9,RM7,1
RM14,RM12,4
RM14,RM4,6
RM14,RM3,2
RM14,RM6,5
RM14,RM22,4
RM14,RM20,3
RM14,RM7,2
RM14,RM9,3
