Source,Target,Weight
LP1,LP23,1
LP1,LP17,6
LP1,LP3,5
LP1,LP22,4
LP1,LP18,3
LP1,LP9,2
LP23,LP1,1
LP23,LP17,2
LP23,LP12,1
LP23,LP4,1
LP23,LP18,4
LP23,LP20,5
LP23,LP25,5
LP23,LP9,3
LP23,LP7,2
LP17,LP1,5
LP17,LP23,5
LP17,LP12,1
LP17,LP4,5
LP17,LP18,6
LP17,LP20,5
LP17,LP25,6
LP17,LP9,3
LP17,LP7,2
LP3,LP1,3
LP3,LP23,2
LP3,LP17,2
LP3,LP22,3
LP3,LP12,2
LP3,LP4,2
LP3,LP18,5
LP3,LP20,3
LP3,LP25,1
LP3,LP9,1
LP22,LP1,4
LP22,LP17,2
LP22,LP3,3
LP22,LP12,5
LP22,LP4,3
LP22,LP18,9
LP22,LP20,5
LP22,LP25,3
LP12,LP22,5
LP12,LP4,1
LP12,LP18,1
LP12,LP20,8
LP12,LP25,4
LP12,LP9,1
LP4,LP23,1
LP4,LP17,2
LP4,LP3,1
LP4,LP22,3
LP4,LP12,2
LP4,LP18,3
LP4,LP20,4
LP4,LP25,7
LP4,LP9,1
LP18,LP1,2
LP18,LP23,4
LP18,LP17,11
LP18,LP3,5
LP18,LP22,3
LP18,LP12,2
LP18,LP4,3
LP18,LP20,3
LP18,LP25,16
LP18,LP9,2
LP20,LP23,4
LP20,LP17,2
LP20,LP3,1
LP20,LP22,6
LP20,LP12,6
LP20,LP4,5
LP20,LP18,5
LP20,LP25,7
LP20,LP9,5
LP25,LP23,6
LP25,LP17,4
LP25,LP3,2
LP25,LP22,5
LP25,LP12,3
LP25,LP4,3
LP25,LP18,9
LP25,LP20,11
LP25,LP9,6
LP9,LP23,1
LP9,LP22,2
LP9,LP12,2
LP9,LP4,3
LP9,LP18,1
LP9,LP20,4
LP9,LP25,1
LP9,LP7,2
LP7,LP18,1
LP7,LP20,1
LP7,LP25,2
