Source,Target,Weight
BARC1,BARC18,1
BARC1,BARC23,10
BARC1,BARC3,5
BARC1,BARC5,2
BARC1,BARC21,1
BARC1,BARC10,1
BARC1,BARC2,2
BARC18,BARC23,11
BARC18,BARC5,12
BARC18,BARC4,2
BARC18,BARC21,9
BARC18,BARC9,11
BARC18,BARC10,9
BARC18,BARC8,25
BARC23,BARC1,3
BARC23,BARC18,22
BARC23,BARC3,10
BARC23,BARC5,8
BARC23,BARC4,2
BARC23,BARC21,4
BARC23,BARC9,2
BARC23,BARC10,1
BARC23,BARC8,12
BARC23,BARC2,3
BARC23,BARC20,2
BARC23,BARC16,1
BARC3,BARC1,6
BARC3,BARC18,4
BARC3,BARC23,13
BARC3,BARC5,6
BARC3,BARC4,7
BARC3,BARC21,4
BARC3,BARC10,2
BARC3,BARC8,1
BARC3,BARC2,10
BARC3,BARC20,1
BARC3,BARC16,2
BARC5,BARC18,5
BARC5,BARC23,8
BARC5,BARC3,5
BARC5,BARC4,13
BARC5,BARC21,4
BARC5,BARC9,2
BARC5,BARC10,13
BARC5,BARC8,9
BARC5,BARC2,7
BARC5,BARC20,2
BARC5,BARC16,1
BARC4,BARC1,1
BARC4,BARC18,4
BARC4,BARC23,4
BARC4,BARC3,6
BARC4,BARC5,11
BARC4,BARC21,8
BARC4,BARC9,2
BARC4,BARC10,12
BARC4,BARC8,3
BARC4,BARC2,9
BARC4,BARC20,3
BARC4,BARC16,2
BARC21,BARC18,10
BARC21,BARC23,5
BARC21,BARC3,4
BARC21,BARC5,3
BARC21,BARC4,10
BARC21,BARC9,6
BARC21,BARC10,3
BARC21,BARC2,7
BARC9,BARC18,9
BARC9,BARC23,1
BARC9,BARC5,2
BARC9,BARC4,3
BARC9,BARC21,3
BARC9,BARC10,6
BARC9,BARC8,7
BARC9,BARC2,2
BARC9,BARC20,1
BARC9,BARC16,3
BARC10,BARC18,4
BARC10,BARC3,1
BARC10,BARC5,2
BARC10,BARC4,5
BARC10,BARC21,7
BARC10,BARC9,8
BARC10,BARC8,7
BARC10,BARC20,1
BARC10,BARC16,1
BARC8,BARC18,21
BARC8,BARC23,6
BARC8,BARC3,5
BARC8,BARC5,7
BARC8,BARC4,2
BARC8,BARC21,3
BARC8,BARC9,10
BARC8,BARC10,3
BARC8,BARC2,4
BARC2,BARC1,1
BARC2,BARC3,6
BARC2,BARC5,2
BARC2,BARC4,17
BARC2,BARC21,13
BARC2,BARC9,3
BARC2,BARC10,1
BARC20,BARC1,1
BARC20,BARC3,2
BARC20,BARC4,2
BARC20,BARC9,2
BARC20,BARC10,2
BARC20,BARC16,7
BARC16,BARC18,1
BARC16,BARC4,2
BARC16,BARC9,2
BARC16,BARC10,4
BARC16,BARC20,2
